Day,Date,PageViews,Sessions,Visitors,NewVisitors
Saturday,2022-03-05,55,37,34,31
Sunday,2022-03-06,49,32,30,23
Monday,2022-03-07,57,40,38,35
Tuesday,2022-03-08,63,49,42,37
Wednesday,2022-03-09,67,38,36,31
Thursday,2022-03-10,44,24,24,21
Friday,2022-03-11,60,50,48,43
Saturday,2022-03-12,63,38,36,32
Sunday,2022-03-13,59,37,34,29
Monday,2022-03-14,71,57,46,33
Tuesday,2022-03-15,68,47,46,34
Wednesday,2022-03-16,90,68,61,54
Thursday,2022-03-17,48,36,35,32
Friday,2022-03-18,40,35,30,26
Saturday,2022-03-19,50,37,32,28
Sunday,2022-03-20,47,34,31,29
Monday,2022-03-21,71,61,52,46
Tuesday,2022-03-22,75,49,45,41
Wednesday,2022-03-23,70,40,38,33
Thursday,2022-03-24,43,30,30,27
Friday,2022-03-25,47,39,37,32
Saturday,2022-03-26,45,28,21,17
Sunday,2022-03-27,73,63,59,54
Monday,2022-03-28,66,49,48,43
Tuesday,2022-03-29,274,166,148,144
Wednesday,2022-03-30,212,154,128,105
Thursday,2022-03-31,83,65,58,44
Friday,2022-04-01,69,50,44,39
Saturday,2022-04-02,59,50,45,35
Sunday,2022-04-03,85,56,45,35
Monday,2022-04-04,40,35,31,24
Tuesday,2022-04-05,63,39,38,33
Wednesday,2022-04-06,50,37,35,28
Thursday,2022-04-07,74,60,53,47
Friday,2022-04-08,67,59,56,47
Saturday,2022-04-09,56,40,38,33
Sunday,2022-04-10,123,98,84,80
Monday,2022-04-11,171,118,103,82
Tuesday,2022-04-12,66,46,42,32
Wednesday,2022-04-13,94,73,60,52
Thursday,2022-04-14,134,117,98,84
Friday,2022-04-15,70,50,39,26
Saturday,2022-04-16,215,131,109,96
Sunday,2022-04-17,159,120,107,95
Monday,2022-04-18,113,56,52,40
Tuesday,2022-04-19,73,47,44,38
Wednesday,2022-04-20,44,29,27,24
Thursday,2022-04-21,117,100,93,88
Friday,2022-04-22,105,78,75,67
Saturday,2022-04-23,42,34,32,26
Sunday,2022-04-24,42,25,24,19
Monday,2022-04-25,64,43,41,32
Tuesday,2022-04-26,151,128,124,117
Wednesday,2022-04-27,52,47,37,29
Thursday,2022-04-28,72,49,43,41
Friday,2022-04-29,64,48,46,39
Saturday,2022-04-30,84,73,64,59
Sunday,2022-05-01,50,40,35,30
Monday,2022-05-02,63,51,42,35
Tuesday,2022-05-03,104,57,50,47
Wednesday,2022-05-04,87,69,54,43
Thursday,2022-05-05,69,47,33,26
Friday,2022-05-06,74,57,52,46
Saturday,2022-05-07,50,33,25,22
Sunday,2022-05-08,40,34,30,24
Monday,2022-05-09,190,66,51,45
Tuesday,2022-05-10,93,59,52,43
Wednesday,2022-05-11,60,48,39,29
Thursday,2022-05-12,61,52,48,44
Friday,2022-05-13,75,51,49,41
Saturday,2022-05-14,74,40,40,37
Sunday,2022-05-15,51,32,31,29
Monday,2022-05-16,137,52,46,37
Tuesday,2022-05-17,109,60,56,47
Wednesday,2022-05-18,72,38,36,33
Thursday,2022-05-19,38,35,35,31
Friday,2022-05-20,60,53,52,49
Saturday,2022-05-21,28,25,23,23
Sunday,2022-05-22,44,28,27,24
Monday,2022-05-23,91,51,46,41
