Day,Date,PageViews,Sessions,Visitors,NewVisitors
Friday,2020-09-18,21,17,15,11
Saturday,2020-09-19,9,8,8,6
Sunday,2020-09-20,14,11,11,9
Monday,2020-09-21,37,19,18,16
Tuesday,2020-09-22,10,10,8,7
Wednesday,2020-09-23,35,22,21,16
Thursday,2020-09-24,31,20,19,13
Friday,2020-09-25,60,30,27,24
Saturday,2020-09-26,32,20,19,14
Sunday,2020-09-27,8,5,5,3
Monday,2020-09-28,24,16,12,9
Tuesday,2020-09-29,43,18,15,12
Wednesday,2020-09-30,10,8,7,4
Thursday,2020-10-01,19,9,9,8
Friday,2020-10-02,27,12,12,9
Saturday,2020-10-03,22,11,8,8
Sunday,2020-10-04,23,17,14,13
Monday,2020-10-05,9,8,8,5
Tuesday,2020-10-06,23,21,18,16
Wednesday,2020-10-07,25,14,12,10
Thursday,2020-10-08,46,33,28,22
Friday,2020-10-09,280,190,168,156
Saturday,2020-10-10,280,243,221,214
Sunday,2020-10-11,172,123,115,104
Monday,2020-10-12,111,96,82,72
Tuesday,2020-10-13,86,60,51,43
Wednesday,2020-10-14,76,56,47,36
Thursday,2020-10-15,42,39,35,27
Friday,2020-10-16,66,42,37,28
Saturday,2020-10-17,25,19,18,13
Sunday,2020-10-18,22,18,15,12
Monday,2020-10-19,25,21,20,14
Tuesday,2020-10-20,218,133,119,112
Wednesday,2020-10-21,394,295,275,261
Thursday,2020-10-22,305,229,200,174
Friday,2020-10-23,118,75,58,42
Saturday,2020-10-24,89,54,49,38
Sunday,2020-10-25,56,46,34,24
Monday,2020-10-26,51,40,37,24
Tuesday,2020-10-27,84,47,40,31
Wednesday,2020-10-28,114,64,59,42
Thursday,2020-10-29,63,39,35,25
Friday,2020-10-30,72,32,24,16
Saturday,2020-10-31,24,19,18,16
Sunday,2020-11-01,40,30,24,18
Monday,2020-11-02,214,126,101,84
Tuesday,2020-11-03,175,131,119,104
Wednesday,2020-11-04,66,51,40,32
Thursday,2020-11-05,255,193,175,154
Friday,2020-11-06,827,698,680,660
Saturday,2020-11-07,918,757,736,717
Sunday,2020-11-08,423,343,328,301
Monday,2020-11-09,116,95,91,68
Tuesday,2020-11-10,173,97,88,73
Wednesday,2020-11-11,145,91,84,68
Thursday,2020-11-12,87,61,52,45
Friday,2020-11-13,84,54,52,38
Saturday,2020-11-14,53,36,29,24
Sunday,2020-11-15,53,41,39,31
Monday,2020-11-16,66,49,45,36
Tuesday,2020-11-17,83,47,44,36
Wednesday,2020-11-18,118,51,44,35
Thursday,2020-11-19,38,31,29,22
Friday,2020-11-20,49,38,35,25
Saturday,2020-11-21,67,39,37,28
Sunday,2020-11-22,48,39,39,33
Monday,2020-11-23,124,88,76,62
Tuesday,2020-11-24,120,92,81,69
Wednesday,2020-11-25,82,49,42,34
Thursday,2020-11-26,155,92,82,67
Friday,2020-11-27,230,142,119,106
Saturday,2020-11-28,80,45,43,29
Sunday,2020-11-29,52,30,29,22
Monday,2020-11-30,187,135,123,107
Tuesday,2020-12-01,78,59,56,44
Wednesday,2020-12-02,78,56,53,46
Thursday,2020-12-03,49,32,29,21
Friday,2020-12-04,55,32,32,31
Saturday,2020-12-05,77,41,39,34
Sunday,2020-12-06,38,32,30,26
Monday,2020-12-07,56,29,28,22
Tuesday,2020-12-08,198,94,85,71
Wednesday,2020-12-09,173,76,66,54
Thursday,2020-12-10,110,78,69,59
Friday,2020-12-11,260,55,47,34
Saturday,2020-12-12,136,47,41,29
Sunday,2020-12-13,55,27,23,19
Monday,2020-12-14,83,58,56,47
Tuesday,2020-12-15,36,26,26,24
Wednesday,2020-12-16,26,24,23,20
Thursday,2020-12-17,102,44,40,33
Friday,2020-12-18,84,52,46,34
Saturday,2020-12-19,16,15,15,11
Sunday,2020-12-20,24,15,15,11
Monday,2020-12-21,86,45,33,28
Tuesday,2020-12-22,76,36,29,22
Wednesday,2020-12-23,114,89,81,72
Thursday,2020-12-24,80,41,40,32
Friday,2020-12-25,13,9,8,7
Saturday,2020-12-26,26,19,18,16
Sunday,2020-12-27,43,29,26,20
Monday,2020-12-28,22,21,19,17
Tuesday,2020-12-29,40,24,23,22
Wednesday,2020-12-30,45,26,25,24
Thursday,2020-12-31,20,15,14,11
Friday,2021-01-01,31,23,17,14
Saturday,2021-01-02,28,19,19,16
Sunday,2021-01-03,26,15,15,13
Monday,2021-01-04,32,25,24,19
Tuesday,2021-01-05,41,26,24,23
Wednesday,2021-01-06,33,25,22,17
Thursday,2021-01-07,81,43,40,33
Friday,2021-01-08,25,23,20,16
Saturday,2021-01-09,26,18,18,12
Sunday,2021-01-10,45,27,23,18
Monday,2021-01-11,41,27,26,19
Tuesday,2021-01-12,26,20,19,14
Wednesday,2021-01-13,37,28,26,21
Thursday,2021-01-14,22,15,14,9
Friday,2021-01-15,40,15,15,12
Saturday,2021-01-16,26,16,13,9
Sunday,2021-01-17,21,18,17,13
Monday,2021-01-18,21,15,15,12
Tuesday,2021-01-19,17,12,11,10
Wednesday,2021-01-20,24,18,18,13
Thursday,2021-01-21,42,24,22,19
Friday,2021-01-22,43,25,24,18
Saturday,2021-01-23,22,13,12,12
Sunday,2021-01-24,15,13,13,12
Monday,2021-01-25,22,19,19,16
Tuesday,2021-01-26,33,26,25,21
Wednesday,2021-01-27,23,17,17,13
Thursday,2021-01-28,54,38,35,30
Friday,2021-01-29,40,18,18,14
Saturday,2021-01-30,42,28,24,20
Sunday,2021-01-31,43,28,25,20
Monday,2021-02-01,20,12,10,7
Tuesday,2021-02-02,19,15,15,12
Wednesday,2021-02-03,20,16,16,14
Thursday,2021-02-04,26,22,21,15
Friday,2021-02-05,15,13,12,10
Saturday,2021-02-06,21,14,13,10
Sunday,2021-02-07,12,11,11,10
Monday,2021-02-08,32,27,23,18
Tuesday,2021-02-09,36,24,24,22
Wednesday,2021-02-10,47,27,26,22
Thursday,2021-02-11,45,29,25,18
Friday,2021-02-12,15,11,11,10
Saturday,2021-02-13,14,10,9,8
Sunday,2021-02-14,19,17,17,14
Monday,2021-02-15,42,23,21,17
Tuesday,2021-02-16,69,28,22,20
Wednesday,2021-02-17,52,39,37,33
Thursday,2021-02-18,44,24,20,15
Friday,2021-02-19,60,32,32,29
Saturday,2021-02-20,31,18,18,15
Sunday,2021-02-21,54,42,41,36
Monday,2021-02-22,52,43,43,37
Tuesday,2021-02-23,58,43,37,28
Wednesday,2021-02-24,57,32,31,25
Thursday,2021-02-25,112,83,76,64
Friday,2021-02-26,55,37,36,29
Saturday,2021-02-27,51,38,33,25
Sunday,2021-02-28,55,31,30,23
Monday,2021-03-01,39,33,33,25
Tuesday,2021-03-02,45,29,24,19
Wednesday,2021-03-03,51,35,34,32
Thursday,2021-03-04,27,24,23,17
Friday,2021-03-05,27,19,17,13
Saturday,2021-03-06,27,15,14,10
Sunday,2021-03-07,19,12,11,10
Monday,2021-03-08,29,22,21,15
Tuesday,2021-03-09,17,12,12,9
Wednesday,2021-03-10,31,20,18,14
Thursday,2021-03-11,28,19,16,15
Friday,2021-03-12,52,33,31,27
Saturday,2021-03-13,30,18,13,10
Sunday,2021-03-14,35,21,14,11
Monday,2021-03-15,85,54,40,32
Tuesday,2021-03-16,228,177,161,153
Wednesday,2021-03-17,190,153,146,135
Thursday,2021-03-18,73,61,60,56
Friday,2021-03-19,75,57,55,50
Saturday,2021-03-20,35,31,31,30
Sunday,2021-03-21,30,27,27,26
Monday,2021-03-22,50,39,39,36
