mm,dd,yyyy,Count
02,17,2021,23
02,18,2021,59
02,19,2021,77
02,20,2021,43
02,21,2021,61
02,22,2021,48
02,23,2021,114
02,24,2021,46
02,25,2021,66
02,26,2021,46
02,27,2021,49
02,28,2021,43
03,01,2021,42
03,02,2021,26
03,03,2021,34
03,04,2021,30
03,05,2021,15
03,06,2021,28
03,07,2021,17
03,08,2021,29
03,09,2021,4
03,10,2021,25
03,11,2021,25
03,12,2021,41
03,13,2021,21
03,14,2021,21
03,15,2021,75
03,16,2021,259
03,17,2021,212
03,18,2021,98
03,19,2021,77
03,20,2021,64
03,21,2021,24
03,22,2021,48
03,23,2021,47
03,24,2021,54
03,25,2021,22
03,26,2021,57
03,27,2021,38
03,28,2021,25
03,29,2021,36
03,30,2021,15
03,31,2021,24
04,01,2021,15
04,02,2021,9
04,03,2021,11
04,04,2021,19
04,05,2021,40
04,06,2021,15
04,07,2021,29
04,08,2021,29
04,09,2021,32
04,10,2021,26
04,11,2021,13
04,12,2021,69
04,13,2021,80
04,14,2021,25
04,15,2021,98
04,16,2021,140
04,17,2021,78
04,18,2021,97
04,19,2021,89
04,20,2021,101
04,21,2021,86
04,22,2021,85
04,23,2021,69
04,24,2021,31
04,25,2021,91
04,26,2021,21
04,27,2021,60
04,28,2021,57
04,29,2021,25
04,30,2021,34
05,01,2021,19
05,02,2021,44
05,03,2021,20
05,04,2021,20
05,05,2021,16
05,06,2021,24
05,07,2021,21
05,08,2021,11
05,09,2021,10
05,10,2021,17
05,11,2021,38
05,12,2021,22
05,13,2021,25
05,14,2021,26
05,15,2021,20
05,16,2021,15
05,17,2021,33
05,18,2021,16
05,19,2021,50
05,20,2021,36
05,21,2021,15
05,22,2021,57
05,23,2021,47
05,24,2021,58
05,25,2021,33
05,26,2021,13
05,27,2021,28
05,28,2021,23
05,29,2021,25
05,30,2021,12
05,31,2021,20
06,01,2021,14
06,02,2021,21
06,03,2021,14
06,04,2021,31
06,05,2021,19
06,06,2021,22
06,07,2021,21
06,08,2021,33
06,09,2021,12
06,10,2021,19
06,11,2021,11
06,12,2021,14
06,13,2021,1
06,14,2021,26
06,15,2021,18
06,16,2021,9
06,17,2021,65
06,18,2021,9
06,19,2021,19
06,20,2021,10
06,21,2021,22
06,22,2021,17
06,23,2021,35
06,24,2021,131
06,25,2021,54
06,26,2021,7
06,27,2021,21
06,28,2021,196
06,29,2021,76
06,30,2021,128
07,01,2021,126
07,02,2021,170
07,03,2021,149
07,04,2021,112
07,05,2021,60
07,06,2021,194
07,07,2021,130
07,08,2021,180
07,09,2021,94
07,10,2021,175
07,11,2021,83
07,12,2021,111
07,13,2021,209
07,14,2021,165
07,15,2021,76
07,16,2021,57
07,17,2021,618
07,18,2021,590
07,19,2021,195
07,20,2021,97
07,21,2021,97
07,22,2021,258
07,23,2021,124
07,24,2021,55
07,25,2021,94
07,26,2021,144
07,27,2021,92
07,28,2021,85
07,29,2021,92
07,30,2021,25
07,31,2021,55
08,01,2021,660
08,02,2021,253
08,03,2021,82
08,04,2021,122
08,05,2021,191
08,06,2021,169
08,07,2021,93
08,08,2021,98
08,09,2021,65
08,10,2021,77
