Day,Date,PageViews,Sessions,Visitors,NewVisitors,type_visitors,id,end_visitors,start_visitors
Wednesday,2022-03-02,79,63,59,53,increase,689,44184,44125
Thursday,2022-03-03,65,48,42,37,increase,690,44226,44184
Friday,2022-03-04,43,30,27,20,increase,691,44253,44226
Saturday,2022-03-05,55,37,34,31,increase,692,44287,44253
Sunday,2022-03-06,49,32,30,23,increase,693,44317,44287
Monday,2022-03-07,57,40,38,35,increase,694,44355,44317
Tuesday,2022-03-08,63,49,42,37,increase,695,44397,44355
Wednesday,2022-03-09,67,38,36,31,increase,696,44433,44397
Thursday,2022-03-10,44,24,24,21,increase,697,44457,44433
Friday,2022-03-11,60,50,48,43,increase,698,44505,44457
Saturday,2022-03-12,63,38,36,32,increase,699,44541,44505
Sunday,2022-03-13,59,37,34,29,increase,700,44575,44541
Monday,2022-03-14,71,57,46,33,increase,701,44621,44575
Tuesday,2022-03-15,68,47,46,34,increase,702,44667,44621
Wednesday,2022-03-16,90,68,61,54,increase,703,44728,44667
Thursday,2022-03-17,48,36,35,32,increase,704,44763,44728
Friday,2022-03-18,40,35,30,26,increase,705,44793,44763
Saturday,2022-03-19,50,37,32,28,increase,706,44825,44793
Sunday,2022-03-20,47,34,31,29,increase,707,44856,44825
Monday,2022-03-21,71,61,52,46,increase,708,44908,44856
Tuesday,2022-03-22,75,49,45,41,increase,709,44953,44908
Wednesday,2022-03-23,70,40,38,33,increase,710,44991,44953
Thursday,2022-03-24,43,30,30,27,increase,711,45021,44991
Friday,2022-03-25,47,39,37,32,increase,712,45058,45021
Saturday,2022-03-26,45,28,21,17,increase,713,45079,45058
Sunday,2022-03-27,73,63,59,54,increase,714,45138,45079
Monday,2022-03-28,66,49,48,43,increase,715,45186,45138
Tuesday,2022-03-29,274,166,148,144,increase,716,45334,45186
Wednesday,2022-03-30,212,154,128,105,increase,717,45462,45334
Thursday,2022-03-31,83,65,58,44,increase,718,45520,45462
Friday,2022-04-01,69,50,44,39,increase,719,45564,45520
Saturday,2022-04-02,59,50,45,35,increase,720,45609,45564
Sunday,2022-04-03,85,56,45,35,increase,721,45654,45609
Monday,2022-04-04,40,35,31,24,increase,722,45685,45654
Tuesday,2022-04-05,63,39,38,33,increase,723,45723,45685
Wednesday,2022-04-06,50,37,35,28,increase,724,45758,45723
Thursday,2022-04-07,74,60,53,47,increase,725,45811,45758
Friday,2022-04-08,67,59,56,47,increase,726,45867,45811
Saturday,2022-04-09,56,40,38,33,increase,727,45905,45867
Sunday,2022-04-10,123,98,84,80,increase,728,45989,45905
Monday,2022-04-11,171,118,103,82,increase,729,46092,45989
Tuesday,2022-04-12,66,46,42,32,increase,730,46134,46092
Wednesday,2022-04-13,94,73,60,52,increase,731,46194,46134
Thursday,2022-04-14,134,117,98,84,increase,732,46292,46194
Friday,2022-04-15,70,50,39,26,increase,733,46331,46292
Saturday,2022-04-16,215,131,109,96,increase,734,46440,46331
Sunday,2022-04-17,159,120,107,95,increase,735,46547,46440
Monday,2022-04-18,113,56,52,40,increase,736,46599,46547
Tuesday,2022-04-19,73,47,44,38,increase,737,46643,46599
Wednesday,2022-04-20,44,29,27,24,increase,738,46670,46643
Thursday,2022-04-21,117,100,93,88,increase,739,46763,46670
Friday,2022-04-22,105,78,75,67,increase,740,46838,46763
Saturday,2022-04-23,42,34,32,26,increase,741,46870,46838
Sunday,2022-04-24,42,25,24,19,increase,742,46894,46870
Monday,2022-04-25,64,43,41,32,increase,743,46935,46894
Tuesday,2022-04-26,151,128,124,117,increase,744,47059,46935
Wednesday,2022-04-27,52,47,37,29,increase,745,47096,47059
Thursday,2022-04-28,72,49,43,41,increase,746,47139,47096
Friday,2022-04-29,64,48,46,39,increase,747,47185,47139
Saturday,2022-04-30,84,73,64,59,increase,748,47249,47185
Sunday,2022-05-01,50,40,35,30,increase,749,47284,47249
Monday,2022-05-02,63,51,42,35,increase,750,47326,47284
Tuesday,2022-05-03,104,57,50,47,increase,751,47376,47326
Wednesday,2022-05-04,87,69,54,43,increase,752,47430,47376
Thursday,2022-05-05,69,47,33,26,increase,753,47463,47430
Friday,2022-05-06,74,57,52,46,increase,754,47515,47463
Saturday,2022-05-07,50,33,25,22,increase,755,47540,47515
Sunday,2022-05-08,40,34,30,24,increase,756,47570,47540
Monday,2022-05-09,190,66,51,45,increase,757,47621,47570
Tuesday,2022-05-10,93,59,52,43,increase,758,47673,47621
Wednesday,2022-05-11,60,48,39,29,increase,759,47712,47673
Thursday,2022-05-12,61,52,48,44,increase,760,47760,47712
Friday,2022-05-13,75,51,49,41,increase,761,47809,47760
Saturday,2022-05-14,74,40,40,37,increase,762,47849,47809
Sunday,2022-05-15,51,32,31,29,increase,763,47880,47849
Monday,2022-05-16,137,52,46,37,increase,764,47926,47880
Tuesday,2022-05-17,109,60,56,47,increase,765,47982,47926
Wednesday,2022-05-18,72,38,36,33,increase,766,48018,47982
Thursday,2022-05-19,38,35,35,31,increase,767,48053,48018
Friday,2022-05-20,60,53,52,49,increase,768,48105,48053
Saturday,2022-05-21,28,25,23,23,increase,769,48128,48105
Sunday,2022-05-22,44,28,27,24,increase,770,48155,48128
Monday,2022-05-23,91,51,46,41,increase,771,48201,48155
