mm,dd,yyyy,Count
02,17,2021,57
02,18,2021,72
02,19,2021,98
02,20,2021,49
02,21,2021,82
02,22,2021,79
02,23,2021,139
02,24,2021,69
02,25,2021,147
02,26,2021,79
02,27,2021,72
02,28,2021,66
03,01,2021,64
03,02,2021,55
03,03,2021,55
03,04,2021,44
03,05,2021,27
03,06,2021,44
03,07,2021,26
03,08,2021,38
03,09,2021,19
03,10,2021,38
03,11,2021,37
03,12,2021,60
03,13,2021,32
03,14,2021,39
03,15,2021,113
03,16,2021,281
03,17,2021,226
03,18,2021,108
03,19,2021,102
03,20,2021,71
03,21,2021,35
03,22,2021,68
03,23,2021,58
03,24,2021,62
03,25,2021,29
03,26,2021,66
03,27,2021,42
03,28,2021,32
03,29,2021,51
03,30,2021,22
03,31,2021,28
04,01,2021,19
04,02,2021,14
04,03,2021,20
04,04,2021,30
04,05,2021,46
04,06,2021,23
04,07,2021,41
04,08,2021,40
04,09,2021,46
04,10,2021,37
04,11,2021,23
04,12,2021,98
04,13,2021,85
04,14,2021,38
04,15,2021,283
04,16,2021,348
04,17,2021,187
04,18,2021,217
04,19,2021,130
04,20,2021,139
04,21,2021,124
04,22,2021,102
04,23,2021,88
04,24,2021,49
04,25,2021,132
04,26,2021,30
04,27,2021,75
04,28,2021,87
04,29,2021,47
04,30,2021,43
05,01,2021,43
05,02,2021,73
05,03,2021,41
05,04,2021,32
05,05,2021,29
05,06,2021,44
05,07,2021,38
05,08,2021,19
05,09,2021,16
05,10,2021,28
05,11,2021,50
05,12,2021,32
05,13,2021,44
05,14,2021,37
05,15,2021,26
05,16,2021,27
05,17,2021,42
05,18,2021,21
05,19,2021,87
05,20,2021,43
05,21,2021,26
05,22,2021,70
05,23,2021,64
05,24,2021,72
05,25,2021,51
05,26,2021,29
05,27,2021,42
05,28,2021,38
05,29,2021,39
05,30,2021,20
05,31,2021,25
06,01,2021,25
06,02,2021,30
06,03,2021,29
06,04,2021,42
06,05,2021,26
06,06,2021,27
06,07,2021,30
06,08,2021,35
06,09,2021,22
06,10,2021,30
06,11,2021,26
06,12,2021,20
06,13,2021,8
06,14,2021,37
06,15,2021,22
06,16,2021,19
06,17,2021,80
06,18,2021,14
06,19,2021,22
06,20,2021,18
06,21,2021,36
06,22,2021,29
06,23,2021,51
06,24,2021,165
06,25,2021,74
06,26,2021,10
06,27,2021,26
06,28,2021,290
06,29,2021,107
06,30,2021,166
07,01,2021,281
07,02,2021,339
07,03,2021,254
07,04,2021,173
07,05,2021,103
07,06,2021,343
07,07,2021,193
07,08,2021,257
07,09,2021,128
07,10,2021,287
07,11,2021,115
07,12,2021,156
07,13,2021,411
07,14,2021,298
07,15,2021,155
07,16,2021,102
07,17,2021,697
07,18,2021,691
07,19,2021,249
07,20,2021,116
07,21,2021,137
07,22,2021,480
07,23,2021,208
07,24,2021,82
07,25,2021,151
07,26,2021,202
07,27,2021,128
07,28,2021,120
07,29,2021,127
07,30,2021,43
07,31,2021,81
08,01,2021,690
08,02,2021,304
08,03,2021,119
08,04,2021,160
08,05,2021,245
08,06,2021,197
08,07,2021,119
08,08,2021,121
08,09,2021,89
08,10,2021,96
08,11,2021,91
08,12,2021,162
08,13,2021,219
08,14,2021,155
08,15,2021,143
08,16,2021,247
08,17,2021,689
08,18,2021,308
08,19,2021,182
08,20,2021,148
08,21,2021,370
08,22,2021,1453
08,23,2021,327
08,24,2021,179
08,25,2021,136
08,26,2021,109
08,27,2021,382
08,28,2021,223
08,29,2021,109
08,30,2021,123
08,31,2021,156
09,01,2021,178
09,02,2021,188
09,03,2021,175
09,04,2021,56
09,05,2021,76
09,06,2021,107
09,07,2021,101
09,08,2021,65
09,09,2021,206
09,10,2021,154
09,11,2021,6
09,12,2021,3
09,13,2021,41
09,14,2021,217
09,15,2021,142
09,16,2021,92
09,17,2021,52
09,18,2021,82
09,19,2021,52
09,20,2021,83
09,21,2021,103
09,22,2021,138
09,23,2021,62
09,24,2021,96
09,25,2021,74
09,26,2021,61
09,27,2021,143
09,28,2021,68
09,29,2021,107
09,30,2021,129
10,01,2021,309
10,02,2021,101
10,03,2021,125
10,04,2021,331
10,05,2021,180
10,06,2021,142
10,07,2021,156
10,08,2021,137
10,09,2021,94
10,10,2021,95
10,11,2021,100
10,12,2021,141
10,13,2021,179
10,14,2021,285
10,15,2021,254
10,16,2021,132
10,17,2021,141
10,18,2021,160
10,19,2021,270
10,20,2021,615
10,21,2021,218
10,22,2021,160
10,23,2021,125
10,24,2021,79
10,25,2021,177
10,26,2021,115
10,27,2021,145
10,28,2021,124
10,29,2021,138
10,30,2021,96
10,31,2021,35
11,01,2021,105
11,02,2021,99
11,03,2021,136
11,04,2021,92
11,05,2021,102
11,06,2021,97
11,07,2021,80
11,08,2021,112
11,09,2021,94
11,10,2021,78
11,11,2021,175
11,12,2021,125
11,13,2021,124
11,14,2021,97
11,15,2021,87
11,16,2021,104
11,17,2021,129
11,18,2021,313
11,19,2021,331
11,20,2021,843
11,21,2021,757
11,22,2021,321
11,23,2021,228
11,24,2021,252
11,25,2021,231
11,26,2021,216
11,27,2021,171
11,28,2021,192
11,29,2021,352
11,30,2021,153
12,01,2021,149
12,02,2021,130
12,03,2021,88
12,04,2021,119
12,05,2021,73
12,06,2021,150
12,07,2021,108
12,08,2021,314
12,09,2021,295
12,10,2021,182
12,11,2021,112
12,12,2021,81
12,13,2021,133
12,14,2021,128
12,15,2021,112
12,16,2021,81
12,17,2021,94
12,18,2021,76
12,19,2021,47
12,20,2021,76
12,21,2021,372
12,22,2021,115
12,23,2021,87
12,24,2021,110
12,25,2021,82
12,26,2021,86
12,27,2021,94
12,28,2021,115
12,29,2021,100
12,30,2021,91
12,31,2021,61
01,01,2022,110
01,02,2022,79
01,03,2022,118
01,04,2022,107
01,05,2022,115
01,06,2022,134
01,07,2022,155
01,08,2022,106
01,09,2022,492
01,10,2022,246
01,11,2022,480
01,12,2022,326
01,13,2022,274
01,14,2022,254
01,15,2022,166
01,16,2022,169
01,17,2022,1315
01,18,2022,470
01,19,2022,255
01,20,2022,249
01,21,2022,165
01,22,2022,193
01,23,2022,125
01,24,2022,149
01,25,2022,115
01,26,2022,134
01,27,2022,140
01,28,2022,226
01,29,2022,117
01,30,2022,145
01,31,2022,160
02,01,2022,166
02,02,2022,146
02,03,2022,169
02,04,2022,113
02,05,2022,66
02,06,2022,180
02,07,2022,99
02,08,2022,247
02,09,2022,165
02,10,2022,125
02,11,2022,115
02,12,2022,60
02,13,2022,122
02,14,2022,84
02,15,2022,129
02,16,2022,229
02,17,2022,126
02,18,2022,112
02,19,2022,135
02,20,2022,113
02,21,2022,103
02,22,2022,130
02,23,2022,115
02,24,2022,103
02,25,2022,75
02,26,2022,109
02,27,2022,65
02,28,2022,142
03,01,2022,91
03,02,2022,141
03,03,2022,95
03,04,2022,67
03,05,2022,86
03,06,2022,72
03,07,2022,93
03,08,2022,92
03,09,2022,134
03,10,2022,60
03,11,2022,105
03,12,2022,97
03,13,2022,114
03,14,2022,115
03,15,2022,112
03,16,2022,158
03,17,2022,95
03,18,2022,62
03,19,2022,65
03,20,2022,76
03,21,2022,120
03,22,2022,124
03,23,2022,108
03,24,2022,71
03,25,2022,80
03,26,2022,69
03,27,2022,127
03,28,2022,103
03,29,2022,386
03,30,2022,286
03,31,2022,130
04,01,2022,107
04,02,2022,84
04,03,2022,148
04,04,2022,71
04,05,2022,98
04,06,2022,79
04,07,2022,98
04,08,2022,121
04,09,2022,79
04,10,2022,165
04,11,2022,205
04,12,2022,95
04,13,2022,148
04,14,2022,187
04,15,2022,95
04,16,2022,237
04,17,2022,185
04,18,2022,147
04,19,2022,112
04,20,2022,74
04,21,2022,209
04,22,2022,141
04,23,2022,74
04,24,2022,63
04,25,2022,115
04,26,2022,210
04,27,2022,77
04,28,2022,116
04,29,2022,117
04,30,2022,118
05,01,2022,83
05,02,2022,90
05,03,2022,141
05,04,2022,136
05,05,2022,104
05,06,2022,102
05,07,2022,88
05,08,2022,62
05,09,2022,262
05,10,2022,178
05,11,2022,81
05,12,2022,70
05,13,2022,100
05,14,2022,90
05,15,2022,95
05,16,2022,187
05,17,2022,148
05,18,2022,136
05,19,2022,77
05,20,2022,80
05,21,2022,45
05,22,2022,68
05,23,2022,113
